category,categoryOccurrences,blockerCode,blockedOccurrences,pctOfCategory,informationToObtain
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,COMPILED_DRAW_DISPATCH_UNPROVEN,1106,100.0,C++ compiled adapter + actual draw submission proof (harness)
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,VERTEX_FACTORY_UNPROVEN,1106,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,PRODUCT_CONSUMER_ABSENT,1104,99.8,"the occurrence is not in any published Product cue (composition work, not material)"
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,STAGE_INPUT_SEMANTICS_UNPROVEN,972,87.9,stage input semantics (which VS outputs feed the PS)
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,RUNTIME_PACKET_NOT_MATERIALIZED,969,87.6,"typed layout packet (texture lanes, scalar/vector packing, masks)"
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,SAMPLER_STATE_UNPROVEN,969,87.6,per-lane sampler state (filter/address/mip) from source material
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,SCALAR_VECTOR_PACKING_UNRESOLVED,969,87.6,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,969,87.6,t#/s# register topology from DXBC signature
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,SCENE_INPUTS_UNPROVEN,958,86.6,scene depth/color feedback requirement per program
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,OUTPUT_TOPOLOGY_MRT_UNPROVEN,957,86.5,MRT topology: RT0 scene color + RT1 distortion semantics
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,CURRENT_PACKET_CAPACITY_EXCEEDED,711,64.3,layout count caps must be raised (texture lanes / scalars / vectors)
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,673,60.8,per-occurrence static parameter set -> exact ShaderMap permutation
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,NAMED_ABI_BLOCKED,135,12.2,named ABI closure for the parent family
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,SOURCE_REGISTER_BINDING_UNRESOLVED,135,12.2,map source parameter names -> registers
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,135,12.2,map source texture parameter -> descriptor slot
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,PROGRAM_EQUATION_EVIDENCE_ABSENT,132,11.9,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,CHILD_PARENT_RESOLUTION_BLOCKED,88,8.0,child MIC -> parent join is BLOCKED (V1 blocker bucket)
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,PARENT_UNRESOLVED,88,8.0,no parent material resolved for the occurrence
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,COOKED_CARRIER_MISMATCH,42,3.8,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,DXBC_EXTRACTION_BLOCKED,28,2.5,DXBC not yet extracted for this family/permutation
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,SHADERMAP_ABSENT,16,1.4,no ShaderMap for the parent
LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,1106,EXACT_VARIANT_RENDERER_KIND_MISMATCH,6,0.5,exact variant renderer kind disagrees with authored kind
STANDALONE_MESH / alpha_two_sided_depth_read,1083,COMPILED_DRAW_DISPATCH_UNPROVEN,1083,100.0,C++ compiled adapter + actual draw submission proof (harness)
STANDALONE_MESH / alpha_two_sided_depth_read,1083,VERTEX_FACTORY_UNPROVEN,1083,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
STANDALONE_MESH / alpha_two_sided_depth_read,1083,WPO_VERTEX_PROGRAM_UNPROVEN,1083,100.0,"world-position-offset vertex program (VS, not PS) must be recovered"
STANDALONE_MESH / alpha_two_sided_depth_read,1083,PRODUCT_CONSUMER_ABSENT,1082,99.9,"the occurrence is not in any published Product cue (composition work, not material)"
STANDALONE_MESH / alpha_two_sided_depth_read,1083,STAGE_INPUT_SEMANTICS_UNPROVEN,1009,93.2,stage input semantics (which VS outputs feed the PS)
